순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
183,김영준,23L, -0.05 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0.1 , 1 , 1 , 3 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 27.00 , 12.44 , 6.00 , 15.1 , 33.2 , -0.05 , -0.03 
184,임지민,23N, -0.05 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1 , 2 , 2 , 10 , 2 , 0 , 0 , 0 , 4 , 0 , 0 , 3 , 0 , 2 , 13.50 , 7.94 , 4.50 , 30.8 , 53.3 , -0.05 , 0.00 
185,정성종,23롯, -0.05 , 12 , 0 , 0 , 3 , 0 , 1 , 0 , 1 , 22.0 , 14 , 13 , 98 , 21 , 5 , 0 , 1 , 15 , 1 , 1 , 10 , 0 , 1 , 5.32 , 5.17 , 1.64 , 78.2 , 79.7 , -0.05 , -0.17 
186,송윤준,23한, -0.05 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.1 , 4 , 4 , 19 , 4 , 2 , 0 , 0 , 2 , 0 , 0 , 3 , 1 , 0 , 8.31 , 3.44 , 1.39 , 50.0 , 120.3 , -0.05 , -0.04 
187,스미스,23한, -0.05 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2.2 , 2 , 2 , 12 , 3 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 6.75 , 3.07 , 1.13 , 61.5 , 135.6 , -0.05 , 0.11 
188,배재준,23L, -0.06 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.0 , 2 , 2 , 6 , 2 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 18.00 , 6.44 , 3.00 , 22.7 , 64.2 , -0.06 , -0.00 
189,서상준,23S, -0.06 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.0 , 3 , 0 , 13 , 1 , 0 , 0 , 0 , 5 , 0 , 0 , 3 , 0 , 1 , 0.00 , 7.94 , 3.00 ,  , 52.3 , -0.06 , -0.01 
190,윤석원,23키, -0.06 , 21 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 24.0 , 17 , 12 , 110 , 29 , 5 , 0 , 2 , 8 , 1 , 0 , 8 , 0 , 1 , 4.50 , 4.73 , 1.54 , 91.3 , 86.2 , -0.06 , -0.03 
191,우강훈,23롯, -0.07 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 6.0 , 5 , 4 , 29 , 6 , 1 , 0 , 0 , 4 , 0 , 1 , 5 , 0 , 0 , 6.00 , 4.28 , 1.67 , 69.3 , 97.6 , -0.07 , -0.26 
192,신헌민,23S, -0.07 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12.0 , 10 , 8 , 62 , 19 , 6 , 0 , 1 , 6 , 1 , 0 , 8 , 0 , 0 , 6.00 , 4.44 , 2.08 , 69.8 , 95.2 , -0.07 , 0.09 
