순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
118,김종모,11해RF, 20.59 , 850 , 3057 , 2739 , 329 , 815 , 111 , 10 , 82 , 1192 , 395 , 26 , 31 , 250 , 15 , 20 , 257 , 105 , 27 , 26 , .298 , .356 , .435 , .792 , .363 , 124.7 , 20.59 ,
119,브룸바,5현LF, 20.50 , 553 , 2384 , 1971 , 320 , 590 , 94 , 3 , 116 , 1038 , 390 , 16 , 18 , 385 , 11 , 37 , 382 , 62 , 0 , 17 , .299 , .414 , .527 , .940 , .418 , 153.6 , 20.50 ,
120,강기웅,8삼2B, 20.39 , 672 , 2568 , 2287 , 328 , 667 , 95 , 18 , 61 , 981 , 304 , 111 , 42 , 175 , 25 , 7 , 209 , 54 , 43 , 34 , .292 , .344 , .429 , .773 , .350 , 117.9 , 20.39 ,
121,최주환,16+두2B, 20.22 , 1264 , 4243 , 3752 , 512 , 1044 , 209 , 24 , 114 , 1643 , 591 , 14 , 12 , 364 , 57 , 20 , 598 , 64 , 18 , 52 , .278 , .347 , .438 , .785 , .352 , 110.7 , 20.22 ,
122,박현승,13롯3B, 19.99 , 1167 , 4226 , 3634 , 503 , 962 , 167 , 18 , 62 , 1351 , 399 , 98 , 43 , 414 , 64 , 6 , 644 , 87 , 83 , 31 , .265 , .348 , .372 , .719 , .328 , 97.4 , 19.99 ,
123,이재원,17+SC, 19.99 , 1424 , 4470 , 3912 , 432 , 1086 , 187 , 5 , 108 , 1607 , 612 , 12 , 12 , 374 , 93 , 27 , 623 , 160 , 38 , 53 , .278 , .350 , .411 , .761 , .344 , 102.7 , 19.99 ,
124,정경배,14삼2B, 19.98 , 1322 , 4598 , 3991 , 525 , 1062 , 203 , 10 , 100 , 1585 , 522 , 70 , 56 , 314 , 118 , 8 , 754 , 82 , 128 , 42 , .266 , .335 , .397 , .732 , .325 , 94.0 , 19.98 ,
125,정구선,8삼2B, 19.72 , 768 , 3036 , 2574 , 308 , 644 , 93 , 5 , 84 , 999 , 316 , 18 , 20 , 365 , 33 , 13 , 283 , 53 , 48 , 16 , .250 , .349 , .388 , .737 , .342 , 112.8 , 19.72 ,
126,조원우,15쌍CF, 19.68 , 1368 , 4813 , 4220 , 586 , 1190 , 164 , 25 , 68 , 1608 , 443 , 123 , 52 , 335 , 68 , 11 , 538 , 85 , 152 , 38 , .282 , .342 , .381 , .723 , .323 , 94.8 , 19.68 ,
127,김종국,14K2B, 19.46 , 1359 , 5037 , 4391 , 604 , 1086 , 198 , 19 , 66 , 1520 , 429 , 254 , 70 , 449 , 46 , 2 , 797 , 77 , 116 , 34 , .247 , .321 , .346 , .668 , .305 , 79.6 , 19.46 ,
128,오재원,16+두2B, 19.28 , 1571 , 4929 , 4321 , 678 , 1152 , 192 , 33 , 64 , 1602 , 521 , 289 , 89 , 462 , 48 , 10 , 933 , 84 , 61 , 36 , .267 , .342 , .371 , .712 , .327 , 91.1 , 19.28 ,
129,홍창기,7+LCF, 19.11 , 573 , 2372 , 1930 , 379 , 591 , 112 , 14 , 11 , 764 , 207 , 72 , 40 , 347 , 68 , 8 , 359 , 32 , 11 , 16 , .306 , .426 , .396 , .822 , .391 , 131.6 , 19.11 ,
130,호세,4롯RF, 19.09 , 394 , 1656 , 1330 , 247 , 411 , 74 , 5 , 95 , 780 , 314 , 22 , 9 , 304 , 8 , 43 , 286 , 28 , 0 , 14 , .309 , .437 , .586 , 1.023 , .442 , 173.7 , 19.09 ,
131,홍문종,7롯CF, 19.09 , 693 , 2776 , 2434 , 338 , 672 , 121 , 23 , 43 , 968 , 259 , 161 , 84 , 281 , 16 , 24 , 225 , 25 , 31 , 14 , .276 , .353 , .398 , .751 , .348 , 116.3 , 19.09 ,
