순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
260,고종욱,11+넥LF, 8.37 , 1027 , 3316 , 3106 , 472 , 939 , 160 , 36 , 46 , 1309 , 388 , 128 , 60 , 165 , 17 , 6 , 650 , 52 , 8 , 20 , .302 , .339 , .421 , .760 , .344 , 100.1 , 8.37 ,
261,김인호,13현2B, 8.35 , 1065 , 3252 , 2783 , 411 , 640 , 110 , 16 , 52 , 938 , 263 , 99 , 64 , 296 , 51 , 1 , 478 , 56 , 108 , 14 , .230 , .314 , .337 , .651 , .296 , 77.7 , 8.35 ,
262,추신수,3+SDH, 8.29 , 357 , 1529 , 1241 , 224 , 322 , 55 , 4 , 49 , 532 , 167 , 46 , 18 , 238 , 38 , 6 , 300 , 21 , 2 , 10 , .259 , .392 , .429 , .820 , .383 , 131.5 , 8.29 ,
263,페타지니,2LDH, 8.28 , 183 , 757 , 604 , 91 , 204 , 33 , 1 , 33 , 338 , 135 , 3 , 0 , 137 , 9 , 10 , 96 , 12 , 0 , 7 , .338 , .462 , .560 , 1.022 , .454 , 177.3 , 8.28 ,
264,로사리오,2한1B, 8.21 , 246 , 1042 , 937 , 178 , 309 , 61 , 3 , 70 , 586 , 231 , 11 , 8 , 83 , 14 , 7 , 151 , 28 , 1 , 7 , .330 , .390 , .625 , 1.015 , .430 , 147.8 , 8.21 ,
265,한문연,10롯C, 8.20 , 663 , 1734 , 1490 , 119 , 381 , 68 , 4 , 14 , 499 , 163 , 8 , 10 , 144 , 11 , 2 , 123 , 41 , 72 , 17 , .256 , .323 , .335 , .657 , .301 , 81.6 , 8.20 ,
266,김태균,14삼SS, 7.98 , 1234 , 3439 , 2961 , 317 , 673 , 122 , 6 , 63 , 996 , 335 , 30 , 21 , 300 , 43 , 6 , 715 , 73 , 108 , 27 , .227 , .305 , .336 , .641 , .288 , 71.6 , 7.98 ,
267,정회열,10해C, 7.90 , 621 , 1678 , 1501 , 146 , 369 , 58 , 4 , 36 , 543 , 200 , 7 , 15 , 100 , 24 , 1 , 216 , 45 , 35 , 18 , .246 , .300 , .362 , .662 , .302 , 82.5 , 7.90 ,
268,김한근,9태2B, 7.85 , 575 , 1569 , 1382 , 153 , 354 , 68 , 5 , 26 , 510 , 157 , 17 , 20 , 144 , 17 , 1 , 190 , 40 , 16 , 9 , .256 , .332 , .369 , .701 , .328 , 102.7 , 7.85 ,
269,류지혁,10+K3B, 7.84 , 852 , 2439 , 2096 , 353 , 566 , 72 , 9 , 14 , 698 , 229 , 70 , 21 , 229 , 48 , 2 , 377 , 38 , 48 , 18 , .270 , .353 , .333 , .686 , .321 , 86.2 , 7.84 ,
270,신종길,11KRF, 7.78 , 768 , 2267 , 2032 , 322 , 554 , 104 , 30 , 28 , 802 , 223 , 132 , 43 , 160 , 30 , 0 , 484 , 17 , 34 , 11 , .273 , .333 , .395 , .728 , .331 , 88.9 , 7.78 ,
271,김종석,15O1B, 7.77 , 974 , 2775 , 2448 , 314 , 644 , 128 , 18 , 48 , 952 , 336 , 32 , 24 , 280 , 13 , 16 , 396 , 70 , 6 , 28 , .263 , .338 , .389 , .727 , .333 , 101.6 , 7.77 ,
272,이민호,8한3B, 7.64 , 555 , 1572 , 1369 , 168 , 330 , 63 , 6 , 51 , 558 , 167 , 19 , 15 , 130 , 33 , 1 , 358 , 30 , 36 , 4 , .241 , .321 , .408 , .729 , .325 , 100.1 , 7.64 ,
273,히메네스,3L3B, 7.62 , 256 , 1076 , 983 , 167 , 298 , 59 , 3 , 44 , 495 , 178 , 29 , 16 , 64 , 17 , 3 , 134 , 20 , 1 , 11 , .303 , .353 , .504 , .856 , .375 , 121.8 , 7.62 ,
274,양세종,7O1B, 7.55 , 493 , 1650 , 1491 , 166 , 403 , 64 , 11 , 27 , 570 , 199 , 35 , 31 , 114 , 17 , 8 , 157 , 41 , 8 , 20 , .270 , .325 , .382 , .708 , .327 , 101.5 , 7.55 ,
275,박준태,10LCF, 7.47 , 720 , 1897 , 1618 , 263 , 395 , 94 , 10 , 23 , 578 , 163 , 84 , 41 , 171 , 21 , 9 , 262 , 26 , 75 , 12 , .244 , .322 , .357 , .679 , .305 , 86.8 , 7.47 ,
276,호잉,4한RF, 7.45 , 368 , 1543 , 1388 , 203 , 383 , 88 , 5 , 63 , 670 , 249 , 55 , 21 , 124 , 15 , 17 , 269 , 17 , 1 , 15 , .276 , .339 , .483 , .821 , .359 , 111.8 , 7.45 ,
277,최동수,19L1B, 7.39 , 1293 , 3742 , 3332 , 340 , 894 , 160 , 4 , 90 , 1332 , 502 , 9 , 13 , 297 , 36 , 18 , 547 , 115 , 31 , 46 , .268 , .331 , .400 , .730 , .331 , 97.6 , 7.39 ,
278,하주석,11+한SS, 7.34 , 811 , 3007 , 2754 , 370 , 727 , 119 , 17 , 48 , 1024 , 328 , 80 , 41 , 176 , 34 , 3 , 727 , 36 , 33 , 10 , .264 , .315 , .372 , .687 , .312 , 81.4 , 7.34 ,
279,샌즈,2키RF, 7.21 , 164 , 706 , 611 , 117 , 187 , 40 , 2 , 40 , 351 , 150 , 1 , 3 , 83 , 6 , 1 , 128 , 19 , 0 , 6 , .306 , .391 , .574 , .965 , .425 , 153.5 , 7.21 ,
280,진상봉,8빙CF, 7.20 , 399 , 990 , 813 , 117 , 199 , 30 , 4 , 27 , 318 , 105 , 12 , 12 , 129 , 28 , 1 , 159 , 25 , 12 , 8 , .245 , .364 , .391 , .755 , .352 , 118.8 , 7.20 ,
281,김호근,11OC, 7.12 , 690 , 1724 , 1570 , 140 , 375 , 72 , 10 , 26 , 545 , 180 , 9 , 10 , 124 , 7 , 5 , 263 , 51 , 15 , 8 , .239 , .296 , .347 , .643 , .299 , 82.5 , 7.12 ,
282,마르테,2k3B, 7.10 , 206 , 868 , 750 , 137 , 234 , 48 , 1 , 42 , 410 , 163 , 0 , 0 , 101 , 3 , 7 , 111 , 31 , 0 , 13 , .312 , .390 , .547 , .937 , .405 , 133.0 , 7.10 ,
283,김윤환,5태RF, 6.98 , 457 , 1402 , 1203 , 153 , 309 , 62 , 9 , 28 , 473 , 170 , 66 , 33 , 147 , 6 , 8 , 163 , 31 , 41 , 5 , .257 , .340 , .393 , .733 , .334 , 103.5 , 6.98 ,
284,에반스,2두DH, 6.95 , 256 , 1062 , 914 , 151 , 275 , 50 , 0 , 51 , 478 , 171 , 2 , 0 , 130 , 8 , 0 , 204 , 25 , 0 , 10 , .301 , .389 , .523 , .912 , .400 , 138.4 , 6.95 ,
285,강귀태,11현C, 6.94 , 816 , 2040 , 1833 , 176 , 468 , 76 , 4 , 31 , 645 , 215 , 9 , 12 , 124 , 15 , 3 , 262 , 58 , 46 , 22 , .255 , .304 , .352 , .656 , .297 , 74.4 , 6.94 ,
286,필,3K1B, 6.94 , 367 , 1524 , 1397 , 216 , 442 , 99 , 2 , 61 , 728 , 253 , 34 , 14 , 98 , 11 , 7 , 209 , 38 , 0 , 18 , .316 , .362 , .521 , .883 , .385 , 119.0 , 6.94 ,
287,김동재,11삼2B, 6.90 , 566 , 1505 , 1326 , 166 , 347 , 62 , 8 , 30 , 515 , 166 , 27 , 26 , 112 , 27 , 4 , 185 , 36 , 28 , 12 , .262 , .329 , .388 , .717 , .331 , 103.5 , 6.90 ,
288,최원준,7+KRF, 6.86 , 610 , 2139 , 1900 , 302 , 538 , 89 , 18 , 16 , 711 , 183 , 89 , 32 , 171 , 27 , 0 , 274 , 23 , 28 , 13 , .283 , .349 , .374 , .723 , .334 , 92.2 , 6.86 ,
289,김실,7쌍LF, 6.79 , 686 , 2235 , 1938 , 273 , 511 , 75 , 23 , 9 , 659 , 192 , 36 , 31 , 214 , 11 , 5 , 219 , 34 , 61 , 11 , .264 , .339 , .340 , .679 , .309 , 87.3 , 6.79 ,
290,금광옥,7삼C, 6.76 , 413 , 1294 , 1164 , 113 , 273 , 47 , 4 , 29 , 415 , 125 , 6 , 8 , 105 , 8 , 1 , 169 , 22 , 12 , 5 , .235 , .301 , .357 , .658 , .306 , 88.8 , 6.76 ,
291,정학수,6롯SS, 6.73 , 355 , 1236 , 1052 , 137 , 283 , 52 , 6 , 6 , 365 , 92 , 27 , 20 , 141 , 8 , 2 , 92 , 19 , 23 , 12 , .269 , .356 , .347 , .703 , .329 , 104.5 , 6.73 ,
292,스미스,2삼LF, 6.71 , 241 , 926 , 831 , 141 , 239 , 47 , 2 , 75 , 515 , 198 , 1 , 2 , 78 , 4 , 5 , 220 , 25 , 1 , 12 , .288 , .347 , .620 , .967 , .401 , 138.3 , 6.71 ,
293,함학수,6삼SS, 6.69 , 481 , 1454 , 1330 , 186 , 344 , 59 , 7 , 32 , 513 , 185 , 44 , 17 , 83 , 8 , 1 , 153 , 27 , 24 , 9 , .259 , .304 , .386 , .690 , .315 , 95.9 , 6.69 ,
294,김종훈,14삼LF, 6.58 , 1259 , 3310 , 2906 , 425 , 735 , 119 , 24 , 43 , 1031 , 276 , 82 , 25 , 256 , 47 , 3 , 577 , 56 , 81 , 20 , .253 , .322 , .355 , .676 , .306 , 83.5 , 6.58 ,
295,차일목,14KC, 6.57 , 900 , 2350 , 1942 , 221 , 454 , 66 , 2 , 25 , 599 , 233 , 14 , 17 , 267 , 37 , 1 , 372 , 71 , 81 , 23 , .234 , .334 , .308 , .643 , .300 , 70.6 , 6.57 ,
296,김성갑,11빙3B, 6.56 , 942 , 2857 , 2416 , 296 , 567 , 90 , 11 , 14 , 721 , 218 , 78 , 47 , 263 , 41 , 1 , 298 , 46 , 121 , 16 , .235 , .318 , .298 , .617 , .287 , 74.3 , 6.56 ,
297,클리어,2LRF, 6.53 , 203 , 776 , 686 , 101 , 199 , 37 , 4 , 22 , 310 , 86 , 25 , 9 , 69 , 15 , 3 , 145 , 17 , 0 , 6 , .290 , .365 , .452 , .817 , .374 , 133.4 , 6.53 ,
298,페르난데스,1S3B, 6.39 , 132 , 556 , 499 , 81 , 140 , 24 , 0 , 45 , 299 , 107 , 4 , 4 , 49 , 7 , 2 , 114 , 8 , 0 , 1 , .281 , .353 , .599 , .952 , .404 , 153.3 , 6.39 ,
299,김영직,9L1B, 6.38 , 715 , 1830 , 1594 , 172 , 404 , 63 , 20 , 25 , 582 , 220 , 18 , 25 , 189 , 9 , 4 , 185 , 27 , 20 , 18 , .253 , .333 , .365 , .698 , .325 , 100.0 , 6.38 ,
300,이영구,3삼2B, 6.37 , 277 , 1128 , 992 , 119 , 268 , 62 , 2 , 13 , 373 , 104 , 13 , 14 , 96 , 10 , 5 , 63 , 29 , 21 , 7 , .270 , .339 , .376 , .715 , .328 , 104.7 , 6.37 ,
301,쿨바,1현3B, 6.35 , 115 , 471 , 410 , 68 , 130 , 27 , 1 , 26 , 237 , 97 , 2 , 3 , 51 , 5 , 3 , 102 , 5 , 0 , 5 , .317 , .395 , .578 , .973 , .421 , 169.8 , 6.35 ,
302,박찬호,8+KSS, 6.33 , 820 , 2846 , 2548 , 353 , 644 , 92 , 14 , 13 , 803 , 250 , 139 , 35 , 226 , 7 , 0 , 422 , 59 , 44 , 21 , .253 , .313 , .315 , .628 , .294 , 67.3 , 6.33 ,
303,백인천,3MLF, 6.31 , 117 , 468 , 403 , 67 , 135 , 31 , 2 , 23 , 239 , 91 , 13 , 3 , 56 , 4 , 10 , 29 , 11 , 1 , 4 , .335 , .418 , .593 , 1.011 , .443 , 185.8 , 6.31 ,
304,황대연,7빙SS, 6.29 , 550 , 1498 , 1321 , 161 , 299 , 58 , 4 , 41 , 488 , 177 , 12 , 10 , 125 , 16 , 2 , 285 , 30 , 27 , 9 , .226 , .299 , .369 , .669 , .306 , 90.1 , 6.29 ,
305,김민우,12넥3B, 6.23 , 704 , 2220 , 1886 , 254 , 464 , 86 , 8 , 32 , 662 , 183 , 83 , 26 , 229 , 19 , 2 , 457 , 32 , 73 , 13 , .246 , .332 , .351 , .683 , .311 , 77.5 , 6.23 ,
306,여태구,8태CF, 6.23 , 589 , 1727 , 1495 , 200 , 376 , 62 , 17 , 18 , 526 , 148 , 86 , 33 , 168 , 10 , 5 , 201 , 11 , 51 , 3 , .252 , .331 , .352 , .682 , .314 , 92.3 , 6.23 ,
307,신명철,14삼2B, 6.19 , 1212 , 3663 , 3198 , 396 , 771 , 127 , 21 , 54 , 1102 , 334 , 130 , 65 , 295 , 18 , 6 , 642 , 75 , 127 , 25 , .241 , .307 , .345 , .651 , .293 , 69.4 , 6.19 ,
308,노수광,10+SCF, 6.16 , 770 , 2676 , 2348 , 378 , 631 , 100 , 23 , 28 , 861 , 220 , 123 , 40 , 237 , 29 , 5 , 536 , 15 , 48 , 14 , .269 , .341 , .367 , .708 , .322 , 87.0 , 6.16 ,
309,정성룡,11해, 6.14 , 528 , 1202 , 1015 , 117 , 231 , 46 , 1 , 27 , 360 , 125 , 9 , 5 , 158 , 12 , 0 , 206 , 19 , 5 , 11 , .228 , .335 , .355 , .690 , .328 , 102.4 , 6.14 ,
310,채종범,8SCF, 6.13 , 681 , 2420 , 2108 , 279 , 553 , 94 , 10 , 50 , 817 , 246 , 25 , 33 , 191 , 56 , 5 , 305 , 54 , 48 , 16 , .262 , .337 , .388 , .725 , .326 , 92.3 , 6.13 ,
311,아두치,2롯CF, 6.12 , 196 , 866 , 773 , 151 , 237 , 52 , 8 , 35 , 410 , 147 , 39 , 12 , 73 , 9 , 9 , 177 , 14 , 2 , 9 , .307 , .369 , .530 , .900 , .389 , 121.8 , 6.12 ,
312,이종운,10롯RF, 6.12 , 739 , 2324 , 2132 , 258 , 580 , 72 , 34 , 9 , 747 , 212 , 98 , 34 , 108 , 18 , 3 , 282 , 30 , 52 , 14 , .272 , .311 , .350 , .661 , .301 , 85.3 , 6.12 ,
313,김선진,11L1B, 6.06 , 816 , 2188 , 1942 , 277 , 501 , 64 , 24 , 33 , 712 , 222 , 83 , 32 , 177 , 27 , 7 , 278 , 54 , 29 , 13 , .258 , .327 , .367 , .693 , .316 , 92.8 , 6.06 ,
314,임주택,12한CF, 6.03 , 851 , 1610 , 1408 , 173 , 350 , 65 , 7 , 54 , 591 , 204 , 12 , 14 , 119 , 30 , 3 , 299 , 35 , 40 , 13 , .249 , .318 , .420 , .738 , .326 , 97.5 , 6.03 ,
315,임수민,9한2B, 6.02 , 790 , 2302 , 2013 , 236 , 485 , 105 , 4 , 54 , 760 , 258 , 11 , 18 , 186 , 19 , 0 , 409 , 54 , 69 , 14 , .241 , .309 , .378 , .687 , .304 , 82.5 , 6.02 ,
316,안치용,12SLF, 6.00 , 528 , 1423 , 1226 , 167 , 314 , 56 , 5 , 32 , 476 , 169 , 25 , 5 , 165 , 6 , 2 , 313 , 16 , 14 , 12 , .256 , .344 , .388 , .733 , .339 , 101.4 , 6.00 ,
317,강인권,12한C, 6.00 , 710 , 1494 , 1252 , 114 , 305 , 41 , 2 , 8 , 374 , 119 , 7 , 12 , 160 , 35 , 0 , 264 , 20 , 38 , 9 , .244 , .343 , .299 , .642 , .302 , 79.7 , 6.00 ,
318,송재박,4O3B, 5.98 , 247 , 764 , 654 , 73 , 177 , 32 , 5 , 16 , 267 , 95 , 5 , 3 , 86 , 11 , 4 , 100 , 7 , 5 , 8 , .271 , .361 , .408 , .769 , .358 , 120.1 , 5.98 ,
319,이창진,8+KLF, 5.97 , 508 , 1598 , 1373 , 209 , 365 , 67 , 6 , 20 , 504 , 165 , 25 , 17 , 179 , 11 , 1 , 280 , 35 , 21 , 14 , .266 , .352 , .367 , .719 , .335 , 93.3 , 5.97 ,
320,송성문,7+키3B, 5.88 , 536 , 1980 , 1780 , 219 , 458 , 78 , 14 , 35 , 669 , 260 , 5 , 7 , 162 , 3 , 11 , 266 , 27 , 14 , 21 , .257 , .317 , .376 , .693 , .315 , 83.5 , 5.88 ,
321,박용성,7롯RF, 5.86 , 359 , 1059 , 922 , 108 , 238 , 34 , 4 , 43 , 409 , 145 , 12 , 13 , 94 , 18 , 2 , 158 , 29 , 15 , 7 , .258 , .336 , .444 , .780 , .353 , 122.0 , 5.86 ,
322,크루즈,2한DH, 5.81 , 164 , 679 , 574 , 89 , 178 , 38 , 0 , 24 , 288 , 106 , 2 , 0 , 89 , 10 , 7 , 98 , 24 , 0 , 6 , .310 , .408 , .502 , .910 , .415 , 155.9 , 5.81 ,
323,퀸란,3현3B, 5.81 , 269 , 1039 , 922 , 140 , 215 , 36 , 3 , 65 , 452 , 157 , 2 , 5 , 88 , 24 , 3 , 343 , 10 , 2 , 3 , .233 , .315 , .490 , .806 , .350 , 106.1 , 5.81 ,
324,마차도,2롯SS, 5.80 , 278 , 1099 , 952 , 162 , 266 , 52 , 2 , 17 , 373 , 125 , 23 , 6 , 112 , 12 , 3 , 125 , 28 , 8 , 15 , .279 , .358 , .392 , .749 , .347 , 100.7 , 5.80 ,
325,서동욱,14K2B, 5.73 , 849 , 2318 , 1974 , 273 , 500 , 98 , 10 , 47 , 759 , 233 , 26 , 13 , 235 , 37 , 5 , 592 , 35 , 57 , 15 , .253 , .341 , .385 , .726 , .329 , 88.0 , 5.73 ,
326,알포드,2+KLF, 5.73 , 213 , 870 , 774 , 131 , 223 , 50 , 4 , 29 , 368 , 120 , 22 , 5 , 80 , 9 , 4 , 230 , 9 , 0 , 7 , .288 , .359 , .475 , .834 , .379 , 131.7 , 5.73 ,
327,안재만,12S3B, 5.72 , 584 , 1572 , 1365 , 174 , 330 , 74 , 3 , 40 , 530 , 176 , 53 , 22 , 136 , 21 , 0 , 374 , 33 , 40 , 10 , .242 , .318 , .388 , .706 , .316 , 86.6 , 5.72 ,
328,박기남,10K3B, 5.71 , 764 , 1603 , 1328 , 200 , 338 , 63 , 0 , 23 , 470 , 147 , 15 , 12 , 183 , 18 , 0 , 254 , 27 , 63 , 11 , .255 , .350 , .354 , .704 , .322 , 86.5 , 5.71 ,
329,최동창,9O, 5.69 , 371 , 940 , 780 , 88 , 194 , 35 , 4 , 19 , 294 , 95 , 4 , 5 , 123 , 21 , 3 , 178 , 24 , 10 , 6 , .249 , .363 , .377 , .740 , .349 , 116.7 , 5.69 ,
330,스크럭스,2N1B, 5.67 , 257 , 1089 , 938 , 166 , 260 , 59 , 0 , 61 , 502 , 208 , 7 , 2 , 120 , 24 , 4 , 278 , 23 , 0 , 7 , .277 , .371 , .535 , .906 , .387 , 125.4 , 5.67 ,
331,김지찬,4+삼2B, 5.67 , 465 , 1399 , 1197 , 217 , 326 , 22 , 9 , 3 , 375 , 82 , 82 , 13 , 143 , 12 , 0 , 174 , 4 , 40 , 7 , .272 , .354 , .313 , .667 , .315 , 86.0 , 5.67 ,
332,이승희,7쌍3B, 5.52 , 556 , 1489 , 1311 , 163 , 338 , 48 , 22 , 17 , 481 , 120 , 35 , 26 , 126 , 6 , 1 , 232 , 29 , 38 , 7 , .258 , .324 , .367 , .691 , .317 , 92.7 , 5.52 ,
333,원원근,8태SS, 5.43 , 458 , 1233 , 1069 , 105 , 277 , 48 , 6 , 8 , 361 , 121 , 19 , 21 , 125 , 8 , 9 , 154 , 18 , 23 , 8 , .259 , .339 , .338 , .677 , .316 , 93.1 , 5.43 ,
334,번즈,2롯2B, 5.28 , 249 , 973 , 885 , 151 , 252 , 72 , 5 , 38 , 448 , 121 , 15 , 9 , 62 , 20 , 2 , 233 , 26 , 3 , 3 , .285 , .344 , .506 , .851 , .365 , 109.5 , 5.28 ,
335,손인호,13롯LF, 5.25 , 908 , 2559 , 2257 , 235 , 593 , 122 , 13 , 24 , 813 , 242 , 17 , 16 , 226 , 23 , 5 , 409 , 28 , 29 , 23 , .263 , .333 , .360 , .693 , .318 , 88.7 , 5.25 ,
336,문성주,4+LLF, 5.19 , 275 , 1011 , 854 , 143 , 248 , 36 , 7 , 9 , 325 , 105 , 34 , 21 , 124 , 13 , 2 , 86 , 24 , 14 , 6 , .290 , .386 , .381 , .767 , .359 , 113.3 , 5.19 ,
337,조용호,7+KRF, 5.17 , 635 , 2162 , 1864 , 269 , 516 , 62 , 9 , 3 , 605 , 160 , 47 , 23 , 256 , 11 , 4 , 339 , 24 , 21 , 10 , .277 , .366 , .325 , .690 , .330 , 91.0 , 5.17 ,
338,오스틴,1+L1B, 5.11 , 136 , 571 , 509 , 84 , 160 , 29 , 4 , 22 , 263 , 94 , 7 , 3 , 52 , 3 , 2 , 75 , 10 , 0 , 7 , .314 , .377 , .517 , .893 , .405 , 154.2 , 5.11 ,
339,이중화,10빙CF, 5.08 , 711 , 1883 , 1678 , 256 , 437 , 61 , 16 , 7 , 551 , 148 , 89 , 43 , 132 , 10 , 5 , 132 , 25 , 49 , 14 , .260 , .316 , .328 , .644 , .298 , 81.5 , 5.08 ,
340,이광근,7태, 5.07 , 401 , 1054 , 917 , 90 , 239 , 62 , 5 , 12 , 347 , 103 , 2 , 12 , 104 , 10 , 3 , 135 , 18 , 18 , 5 , .261 , .341 , .378 , .719 , .334 , 103.7 , 5.07 ,
341,최계영,8롯CF, 5.07 , 593 , 1648 , 1391 , 187 , 351 , 54 , 15 , 7 , 456 , 117 , 57 , 33 , 175 , 13 , 2 , 118 , 29 , 63 , 5 , .252 , .340 , .328 , .668 , .311 , 88.9 , 5.07 ,
342,김우근,6삼CF, 5.02 , 382 , 1202 , 1037 , 140 , 263 , 35 , 8 , 11 , 347 , 85 , 65 , 24 , 111 , 9 , 4 , 111 , 22 , 33 , 6 , .254 , .329 , .335 , .664 , .305 , 88.6 , 5.02 ,
343,김정민,16LC, 5.01 , 696 , 1443 , 1257 , 122 , 331 , 53 , 4 , 14 , 434 , 142 , 4 , 10 , 89 , 21 , 0 , 220 , 25 , 63 , 13 , .263 , .320 , .345 , .665 , .297 , 75.4 , 5.01 ,
344,에레라,2SCF, 5.00 , 156 , 672 , 628 , 84 , 206 , 35 , 2 , 21 , 308 , 83 , 17 , 12 , 32 , 6 , 6 , 81 , 12 , 3 , 3 , .328 , .365 , .490 , .855 , .378 , 125.8 , 5.00 ,
345,터크먼,1+한CF, 4.98 , 144 , 648 , 575 , 88 , 166 , 37 , 4 , 12 , 247 , 43 , 19 , 11 , 64 , 7 , 5 , 104 , 12 , 0 , 2 , .289 , .366 , .430 , .795 , .365 , 126.8 , 4.98 ,
346,페레즈,3롯LF, 4.97 , 222 , 920 , 860 , 113 , 263 , 39 , 0 , 35 , 407 , 144 , 10 , 10 , 44 , 10 , 7 , 100 , 32 , 1 , 5 , .306 , .345 , .473 , .818 , .367 , 122.1 , 4.97 ,
347,김종호,7NLF, 4.94 , 494 , 1533 , 1343 , 249 , 376 , 41 , 18 , 6 , 471 , 90 , 128 , 37 , 135 , 28 , 1 , 255 , 29 , 22 , 4 , .280 , .357 , .351 , .708 , .331 , 90.9 , 4.94 ,
348,박계원,9롯2B, 4.94 , 717 , 2051 , 1812 , 224 , 439 , 69 , 11 , 19 , 587 , 212 , 55 , 33 , 150 , 29 , 1 , 290 , 42 , 40 , 20 , .242 , .307 , .324 , .631 , .290 , 71.5 , 4.94 ,
349,라모스,2L1B, 4.93 , 168 , 699 , 616 , 88 , 165 , 24 , 3 , 46 , 333 , 111 , 2 , 0 , 73 , 6 , 5 , 179 , 9 , 0 , 4 , .268 , .349 , .541 , .890 , .388 , 142.2 , 4.93 ,
350,조경택,12한C, 4.87 , 770 , 1531 , 1295 , 123 , 299 , 59 , 3 , 15 , 409 , 112 , 7 , 11 , 135 , 38 , 3 , 286 , 32 , 55 , 8 , .231 , .320 , .316 , .636 , .289 , 72.9 , 4.87 ,
351,이병훈,7LRF, 4.87 , 515 , 1423 , 1317 , 136 , 352 , 41 , 2 , 38 , 511 , 169 , 8 , 8 , 87 , 6 , 3 , 173 , 45 , 8 , 5 , .267 , .315 , .388 , .703 , .324 , 101.2 , 4.87 ,
352,김인식,7M3B, 4.86 , 663 , 2409 , 2167 , 260 , 553 , 67 , 11 , 11 , 675 , 153 , 99 , 46 , 107 , 60 , 3 , 110 , 38 , 67 , 7 , .255 , .308 , .311 , .619 , .288 , 74.4 , 4.86 ,
353,프랑코,1삼RF, 4.69 , 132 , 549 , 477 , 79 , 156 , 19 , 1 , 22 , 243 , 110 , 12 , 5 , 63 , 2 , 5 , 86 , 11 , 0 , 7 , .327 , .403 , .509 , .912 , .401 , 139.5 , 4.69 ,
354,심우준,8+kSS, 4.63 , 1019 , 2980 , 2693 , 381 , 681 , 111 , 14 , 28 , 904 , 247 , 149 , 41 , 173 , 22 , 1 , 497 , 44 , 71 , 19 , .253 , .301 , .336 , .637 , .289 , 61.6 , 4.63 ,
355,고동진,10한RF, 4.59 , 820 , 2652 , 2296 , 311 , 572 , 97 , 7 , 21 , 746 , 201 , 62 , 34 , 214 , 73 , 4 , 428 , 52 , 53 , 16 , .249 , .331 , .325 , .655 , .308 , 79.3 , 4.59 ,
356,최경환,10두LF, 4.56 , 810 , 2300 , 2075 , 266 , 549 , 95 , 12 , 32 , 764 , 222 , 59 , 25 , 164 , 20 , 4 , 333 , 33 , 20 , 21 , .265 , .322 , .368 , .690 , .315 , 85.1 , 4.56 ,
357,한상훈,11한2B, 4.48 , 1043 , 2993 , 2539 , 303 , 606 , 100 , 14 , 12 , 770 , 216 , 52 , 37 , 296 , 25 , 2 , 489 , 62 , 121 , 12 , .239 , .323 , .303 , .626 , .290 , 67.3 , 4.48 ,
358,샌더스,1해1B, 4.43 , 125 , 526 , 409 , 86 , 101 , 14 , 0 , 40 , 235 , 94 , 3 , 0 , 105 , 7 , 1 , 133 , 5 , 4 , 1 , .247 , .408 , .575 , .983 , .414 , 145.0 , 4.43 ,
359,정문언,2태, 4.39 , 192 , 618 , 552 , 59 , 158 , 42 , 4 , 13 , 247 , 57 , 2 , 11 , 60 , 2 , 3 , 96 , 10 , 2 , 2 , .286 , .357 , .447 , .805 , .367 , 122.7 , 4.39 ,
360,배대웅,5삼SS, 4.39 , 355 , 930 , 822 , 85 , 213 , 32 , 3 , 11 , 284 , 83 , 24 , 7 , 72 , 4 , 1 , 52 , 16 , 30 , 2 , .259 , .321 , .346 , .667 , .305 , 89.4 , 4.39 ,
361,김종헌,11롯LF, 4.38 , 825 , 1967 , 1702 , 267 , 425 , 65 , 17 , 5 , 539 , 152 , 114 , 62 , 180 , 22 , 1 , 308 , 26 , 46 , 16 , .250 , .327 , .317 , .643 , .298 , 80.4 , 4.38 ,
362,신국환,8L2B, 4.36 , 469 , 1327 , 1171 , 169 , 301 , 59 , 4 , 23 , 437 , 160 , 19 , 14 , 69 , 42 , 3 , 179 , 41 , 29 , 16 , .257 , .317 , .373 , .691 , .307 , 84.1 , 4.36 ,
363,김주원,3+NSS, 4.36 , 287 , 969 , 824 , 106 , 190 , 26 , 5 , 25 , 301 , 117 , 31 , 8 , 90 , 31 , 2 , 249 , 14 , 18 , 6 , .231 , .327 , .365 , .692 , .320 , 91.1 , 4.36 ,
364,김충민,8한C, 4.33 , 415 , 972 , 857 , 87 , 194 , 36 , 3 , 27 , 317 , 104 , 19 , 12 , 76 , 11 , 0 , 196 , 25 , 25 , 3 , .226 , .297 , .370 , .667 , .297 , 81.8 , 4.33 ,
365,추성건,7O3B, 4.32 , 391 , 697 , 594 , 96 , 147 , 18 , 4 , 17 , 224 , 74 , 22 , 6 , 89 , 3 , 0 , 165 , 14 , 6 , 5 , .247 , .346 , .377 , .723 , .334 , 101.7 , 4.32 ,
366,프랭클린,2현3B, 4.30 , 87 , 365 , 288 , 54 , 72 , 13 , 1 , 24 , 159 , 58 , 10 , 4 , 59 , 13 , 3 , 109 , 2 , 0 , 5 , .250 , .395 , .552 , .947 , .407 , 151.1 , 4.30 ,
