이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,Salary
최동환,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
김성진,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김성진,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
하영민,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
송은범,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0
박주혁,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
정철원,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
최성훈,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.0
박민호,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
하준영,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
김명신,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
송승기,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
한재승,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
허준혁,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김진호,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
주현상,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.0
윤호솔,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6350.0
구승민,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100.0
김동주,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
노운현,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박신지,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0
함덕주,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
김원중,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.0
임창민,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
박주성,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
김태훈,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0
김민우,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100.0
김진성,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
이상우,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김재열,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.0
정우영,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.0
백승현,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
장원준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
주권,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500.0
류진욱,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.0
고효준,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
류희운,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
이정현,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
이재홍,-0.01,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, .250 , .250 , .250 , .500 , .236 , 40.7 ,-0.01,-0.06,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박주홍,-0.01,21.0,57.0,49.0,4.0,11.0,1.0,1.0,0.0,14.0,3.0,0.0,0.0,8.0,0.0,1.0,18.0,1.0,0.0,0.0, .224 , .333 , .286 , .619 , .294 , 78.7 ,-0.01,-0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박정우,-0.01,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,-0.01,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
김민성,-0.02,92.0,157.0,140.0,16.0,29.0,4.0,0.0,3.0,42.0,20.0,0.0,1.0,10.0,3.0,0.0,27.0,4.0,3.0,1.0, .207 , .273 , .300 , .573 , .265 , 61.8 ,-0.02,-0.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000.0
노수광,-0.02,117.0,361.0,315.0,33.0,72.0,18.0,6.0,4.0,114.0,30.0,17.0,6.0,32.0,1.0,1.0,107.0,2.0,10.0,3.0, .229 , .299 , .362 , .661 , .296 , 80.3 ,-0.02,-0.45,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12840.0
고우석,-0.02,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.02,-0.05,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0
조형우,-0.02,9.0,13.0,12.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0, .167 , .231 , .250 , .481 , .229 , 33.2 ,-0.02,-0.1,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김세민,-0.03,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0, .000 , .500 , .000 , .500 , .179 , -1.5 ,-0.03,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김기연,-0.03,12.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0, .222 , .222 , .222 , .444 , .210 , 19.1 ,-0.03,-0.06,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
임석진,-0.04,10.0,17.0,14.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0, .071 , .235 , .286 , .521 , .251 , 46.4 ,-0.04,-0.15,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
최민창,-0.04,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .200 , .200 , .200 , .400 , .189 , 4.9 ,-0.04,-0.15,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
이천웅,-0.04,19.0,23.0,20.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0, .200 , .304 , .200 , .504 , .258 , 52.1 ,-0.04,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
이유찬,-0.04,13.0,31.0,29.0,3.0,7.0,0.0,0.0,1.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0, .241 , .233 , .345 , .578 , .250 , 51.6 ,-0.04,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900.0
권민석,-0.04,16.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.04,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
박정우,-0.04,14.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .333 , .333 , .333 , .667 , .314 , 91.8 ,-0.04,0.11,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
이명기,-0.04,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, .250 , .250 , .250 , .500 , .236 , 40.7 ,-0.04,-0.06,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500.0
홍현빈,-0.04,61.0,92.0,76.0,8.0,18.0,2.0,0.0,0.0,20.0,1.0,4.0,0.0,10.0,0.0,0.0,26.0,1.0,6.0,0.0, .237 , .326 , .263 , .589 , .271 , 60.2 ,-0.04,-0.77,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
안익훈,-0.05,14.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, .000 , .250 , .000 , .250 , .179 , -1.6 ,-0.05,-0.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0
허관회,-0.05,15.0,25.0,23.0,3.0,5.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,0.0, .217 , .250 , .304 , .554 , .247 , 46.3 ,-0.05,0.08,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370.0
오태양,-0.05,15.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0, .000 , .250 , .000 , .250 , .187 , 5.4 ,-0.05,-0.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이재현,-0.05,75.0,239.0,230.0,23.0,54.0,4.0,0.0,7.0,79.0,23.0,0.0,0.0,5.0,1.0,0.0,44.0,6.0,3.0,0.0, .235 , .254 , .343 , .598 , .271 , 59.0 ,-0.05,-0.82,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김웅빈,-0.05,45.0,135.0,115.0,17.0,26.0,5.0,1.0,1.0,36.0,11.0,0.0,2.0,13.0,4.0,1.0,38.0,2.0,3.0,0.0, .226 , .326 , .313 , .639 , .297 , 81.5 ,-0.05,-0.84,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
문상인,-0.06,12.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.06,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
김재호,-0.06,102.0,264.0,223.0,26.0,48.0,7.0,0.0,1.0,58.0,21.0,0.0,2.0,28.0,2.0,0.0,33.0,5.0,7.0,4.0, .215 , .304 , .260 , .564 , .267 , 60.6 ,-0.06,-1.91,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0
이상호,-0.06,60.0,80.0,72.0,9.0,18.0,2.0,0.0,0.0,20.0,5.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,3.0,0.0, .250 , .299 , .278 , .577 , .267 , 59.5 ,-0.06,-0.24,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0
신범수,-0.07,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.07,-0.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.0
김수환,-0.07,57.0,168.0,140.0,18.0,25.0,6.0,0.0,4.0,43.0,14.0,0.0,0.0,21.0,3.0,0.0,56.0,0.0,3.0,1.0, .179 , .297 , .307 , .604 , .284 , 74.9 ,-0.07,-0.63,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0
김민수,-0.08,5.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, .143 , .143 , .143 , .286 , .135 , -33.7 ,-0.08,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김민수,-0.08,5.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, .143 , .143 , .143 , .286 , .135 , -33.7 ,-0.08,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.0
김민수,-0.08,5.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, .143 , .143 , .143 , .286 , .135 , -33.7 ,-0.08,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0
김민수,-0.08,5.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, .143 , .143 , .143 , .286 , .135 , -33.7 ,-0.08,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0
김영웅,-0.08,12.0,15.0,15.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0, .133 , .133 , .333 , .467 , .202 , 8.8 ,-0.08,-0.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
조대현,-0.09,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.09,-0.12,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
정진기,-0.09,39.0,59.0,53.0,4.0,10.0,2.0,0.0,1.0,15.0,4.0,1.0,0.0,6.0,0.0,0.0,19.0,1.0,0.0,0.0, .189 , .271 , .283 , .554 , .265 , 58.2 ,-0.09,-0.59,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0
김수윤,-0.09,10.0,18.0,17.0,1.0,2.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0, .118 , .167 , .353 , .520 , .229 , 31.3 ,-0.09,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이시원,-0.09,31.0,16.0,15.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0, .133 , .188 , .133 , .321 , .165 , -11.5 ,-0.09,-0.05,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
신민재,-0.1,14.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.1,0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
예진원,-0.1,20.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0, .100 , .308 , .100 , .408 , .221 , 29.3 ,-0.1,-0.2,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
김재현,-0.1,18.0,20.0,18.0,2.0,4.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0, .222 , .222 , .278 , .500 , .207 , 18.9 ,-0.1,0.17,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김재현,-0.1,18.0,20.0,18.0,2.0,4.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0, .222 , .222 , .278 , .500 , .207 , 18.9 ,-0.1,0.17,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0
장진혁,-0.1,41.0,132.0,116.0,11.0,27.0,2.0,0.0,2.0,35.0,17.0,2.0,1.0,12.0,0.0,0.0,28.0,1.0,1.0,3.0, .233 , .298 , .302 , .599 , .281 , 68.9 ,-0.1,-0.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0
장두성,-0.12,53.0,28.0,23.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0, .174 , .321 , .174 , .495 , .263 , 54.4 ,-0.12,-0.32,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
장승현,-0.12,60.0,109.0,96.0,6.0,20.0,3.0,0.0,0.0,23.0,9.0,0.0,0.0,5.0,4.0,0.0,27.0,2.0,3.0,1.0, .208 , .274 , .240 , .513 , .244 , 43.8 ,-0.12,-0.69,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
김준완,-0.13,111.0,398.0,317.0,43.0,60.0,10.0,2.0,1.0,77.0,28.0,1.0,1.0,64.0,8.0,0.0,71.0,4.0,6.0,3.0, .189 , .337 , .243 , .580 , .288 , 74.9 ,-0.13,-0.86,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
양승혁,-0.13,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.13,-0.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이정훈,-0.13,6.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0, .000 , .200 , .000 , .200 , .144 , -26.1 ,-0.13,-0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
이정훈,-0.13,6.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0, .000 , .200 , .000 , .200 , .144 , -26.1 ,-0.13,-0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김재현,-0.13,56.0,88.0,82.0,4.0,17.0,4.0,0.0,1.0,24.0,8.0,0.0,0.0,2.0,1.0,0.0,19.0,3.0,2.0,1.0, .207 , .233 , .293 , .525 , .237 , 40.2 ,-0.13,-0.66,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김재현,-0.13,56.0,88.0,82.0,4.0,17.0,4.0,0.0,1.0,24.0,8.0,0.0,0.0,2.0,1.0,0.0,19.0,3.0,2.0,1.0, .207 , .233 , .293 , .525 , .237 , 40.2 ,-0.13,-0.66,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0
박승욱,-0.13,100.0,228.0,198.0,29.0,45.0,7.0,2.0,1.0,59.0,16.0,8.0,2.0,16.0,2.0,0.0,69.0,1.0,12.0,0.0, .227 , .292 , .298 , .590 , .266 , 55.6 ,-0.13,-0.61,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
한석현,-0.14,6.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0, .222 , .222 , .222 , .444 , .189 , 4.8 ,-0.14,-0.21,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.0
최상민,-0.14,27.0,18.0,14.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0, .071 , .235 , .071 , .307 , .172 , -7.0 ,-0.14,0.27,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
