이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,Salary
오재일,2.83,135.0,536.0,470.0,57.0,126.0,42.0,0.0,21.0,231.0,94.0,2.0,1.0,58.0,1.0,8.0,133.0,7.0,0.0,7.0, .268 , .345 , .491 , .837 , .370 , 126.5 ,2.83,0.86,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
조용호,2.66,131.0,531.0,474.0,52.0,146.0,18.0,4.0,3.0,181.0,44.0,5.0,4.0,49.0,3.0,3.0,74.0,3.0,2.0,3.0, .308 , .374 , .382 , .756 , .352 , 115.8 ,2.66,1.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000.0
노시환,2.65,115.0,490.0,434.0,55.0,122.0,24.0,1.0,6.0,166.0,59.0,6.0,2.0,48.0,4.0,1.0,95.0,13.0,0.0,4.0, .281 , .355 , .382 , .738 , .344 , 112.5 ,2.65,1.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
황재균,2.65,141.0,581.0,519.0,59.0,136.0,24.0,3.0,10.0,196.0,64.0,6.0,3.0,53.0,5.0,5.0,99.0,17.0,2.0,2.0, .262 , .335 , .378 , .713 , .328 , 99.6 ,2.65,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0
배정대,2.58,144.0,575.0,508.0,64.0,135.0,24.0,2.0,6.0,181.0,56.0,19.0,4.0,54.0,4.0,0.0,126.0,2.0,5.0,4.0, .266 , .339 , .356 , .695 , .324 , 96.7 ,2.58,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000.0
문성주,2.48,106.0,390.0,327.0,55.0,99.0,15.0,3.0,6.0,138.0,41.0,9.0,6.0,51.0,3.0,2.0,36.0,13.0,8.0,1.0, .303 , .401 , .422 , .823 , .375 , 136.0 ,2.48,0.48,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0
알포드,2.47,80.0,323.0,283.0,48.0,81.0,19.0,1.0,14.0,144.0,50.0,5.0,1.0,33.0,3.0,3.0,90.0,3.0,0.0,4.0, .286 , .362 , .509 , .871 , .387 , 139.7 ,2.47,2.04,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,47700.0
추신수,2.38,112.0,499.0,409.0,77.0,106.0,20.0,1.0,16.0,176.0,58.0,15.0,5.0,71.0,13.0,1.0,100.0,6.0,2.0,4.0, .259 , .382 , .430 , .813 , .374 , 129.8 ,2.38,2.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000.0
강승호,2.34,134.0,487.0,444.0,54.0,117.0,28.0,1.0,10.0,177.0,62.0,13.0,5.0,29.0,3.0,0.0,100.0,8.0,6.0,5.0, .264 , .310 , .399 , .708 , .320 , 100.5 ,2.34,0.53,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0
유강남,2.3,139.0,469.0,416.0,54.0,106.0,16.0,0.0,8.0,146.0,47.0,0.0,0.0,34.0,11.0,1.0,98.0,9.0,6.0,2.0, .255 , .326 , .351 , .677 , .314 , 94.9 ,2.3,0.41,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0
렉스,2.3,56.0,251.0,218.0,32.0,72.0,10.0,1.0,8.0,108.0,34.0,3.0,0.0,26.0,5.0,2.0,44.0,4.0,0.0,2.0, .330 , .410 , .495 , .906 , .411 , 156.3 ,2.3,1.32,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,31370.0
최형우,2.29,132.0,530.0,454.0,55.0,120.0,27.0,1.0,14.0,191.0,71.0,1.0,0.0,73.0,1.0,5.0,92.0,9.0,0.0,2.0, .264 , .366 , .421 , .787 , .361 , 123.3 ,2.29,1.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000.0
류지혁,2.26,127.0,477.0,405.0,55.0,112.0,19.0,2.0,2.0,141.0,48.0,8.0,4.0,56.0,6.0,0.0,83.0,6.0,8.0,2.0, .277 , .371 , .348 , .719 , .338 , 107.8 ,2.26,1.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.0
박민우,2.13,104.0,451.0,390.0,61.0,104.0,22.0,1.0,4.0,140.0,38.0,21.0,4.0,42.0,10.0,5.0,55.0,7.0,6.0,3.0, .267 , .351 , .359 , .710 , .326 , 101.0 ,2.13,0.62,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000.0
강민호,2.11,130.0,444.0,396.0,38.0,102.0,19.0,1.0,13.0,162.0,66.0,0.0,0.0,41.0,3.0,4.0,58.0,21.0,1.0,3.0, .258 , .330 , .409 , .739 , .335 , 103.6 ,2.11,0.55,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
김지찬,2.08,113.0,429.0,361.0,62.0,101.0,7.0,6.0,0.0,120.0,25.0,25.0,4.0,45.0,2.0,0.0,64.0,2.0,19.0,2.0, .280 , .361 , .332 , .693 , .317 , 93.2 ,2.08,0.63,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0
손아섭,2.07,138.0,617.0,548.0,72.0,152.0,29.0,4.0,4.0,201.0,48.0,6.0,3.0,59.0,3.0,2.0,76.0,9.0,1.0,6.0, .277 , .347 , .367 , .714 , .333 , 105.7 ,2.07,1.43,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0
송성문,2.01,142.0,601.0,547.0,67.0,135.0,21.0,4.0,13.0,203.0,79.0,0.0,1.0,45.0,1.0,6.0,65.0,8.0,1.0,7.0, .247 , .302 , .371 , .673 , .305 , 88.1 ,2.01,-1.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.0
김현준,1.96,118.0,422.0,363.0,57.0,100.0,19.0,4.0,0.0,127.0,22.0,5.0,3.0,45.0,6.0,0.0,80.0,1.0,8.0,0.0, .275 , .365 , .350 , .715 , .334 , 105.5 ,1.96,0.64,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
고승민,1.95,92.0,262.0,234.0,31.0,74.0,15.0,1.0,5.0,106.0,30.0,1.0,4.0,25.0,0.0,0.0,47.0,6.0,2.0,1.0, .316 , .381 , .453 , .834 , .381 , 134.4 ,1.95,1.34,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0
구자욱,1.91,99.0,442.0,409.0,69.0,119.0,23.0,3.0,5.0,163.0,37.0,11.0,1.0,27.0,3.0,2.0,84.0,7.0,1.0,2.0, .291 , .338 , .399 , .736 , .338 , 107.1 ,1.91,-0.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000.0
이창진,1.84,111.0,404.0,346.0,56.0,104.0,14.0,0.0,7.0,139.0,48.0,3.0,5.0,41.0,2.0,0.0,63.0,7.0,11.0,4.0, .301 , .374 , .402 , .776 , .352 , 117.2 ,1.84,-0.65,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
강한울,1.83,93.0,252.0,226.0,31.0,73.0,12.0,1.0,1.0,90.0,26.0,4.0,2.0,20.0,0.0,0.0,48.0,2.0,4.0,2.0, .323 , .375 , .398 , .773 , .355 , 119.4 ,1.83,-0.53,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
김준태,1.82,98.0,270.0,231.0,28.0,63.0,16.0,1.0,4.0,93.0,27.0,2.0,0.0,33.0,0.0,1.0,77.0,4.0,3.0,3.0, .273 , .360 , .403 , .762 , .348 , 113.0 ,1.82,0.54,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0
김주원,1.81,96.0,326.0,273.0,35.0,62.0,10.0,2.0,10.0,106.0,47.0,10.0,3.0,30.0,14.0,1.0,89.0,4.0,9.0,0.0, .227 , .334 , .388 , .723 , .327 , 100.7 ,1.81,-0.41,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
최재훈,1.78,114.0,437.0,364.0,38.0,81.0,14.0,0.0,5.0,110.0,30.0,1.0,1.0,44.0,21.0,0.0,65.0,17.0,5.0,2.0, .223 , .339 , .302 , .641 , .308 , 87.4 ,1.78,-1.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
김휘집,1.58,112.0,393.0,333.0,40.0,74.0,12.0,1.0,8.0,112.0,36.0,0.0,0.0,39.0,14.0,0.0,115.0,6.0,3.0,4.0, .222 , .326 , .336 , .662 , .312 , 93.6 ,1.58,-1.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.0
양석환,1.57,107.0,446.0,406.0,58.0,99.0,14.0,1.0,20.0,175.0,51.0,1.0,0.0,32.0,7.0,3.0,101.0,3.0,0.0,1.0, .244 , .309 , .431 , .741 , .334 , 113.0 ,1.57,0.05,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000.0
하주석,1.38,125.0,483.0,444.0,50.0,115.0,18.0,2.0,5.0,152.0,58.0,20.0,6.0,31.0,3.0,1.0,126.0,4.0,2.0,3.0, .259 , .310 , .342 , .652 , .303 , 84.5 ,1.38,-0.21,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090.0
김재성,1.37,63.0,185.0,161.0,16.0,54.0,10.0,0.0,3.0,73.0,26.0,0.0,0.0,18.0,2.0,0.0,40.0,4.0,1.0,3.0, .335 , .402 , .453 , .856 , .392 , 143.6 ,1.37,0.44,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500.0
김강민,1.33,84.0,202.0,178.0,24.0,54.0,11.0,0.0,5.0,80.0,18.0,1.0,3.0,18.0,3.0,2.0,39.0,1.0,2.0,1.0, .303 , .375 , .449 , .824 , .372 , 129.5 ,1.33,1.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0
박세혁,1.29,128.0,402.0,351.0,33.0,87.0,13.0,1.0,3.0,111.0,41.0,2.0,2.0,33.0,6.0,1.0,71.0,4.0,8.0,4.0, .248 , .320 , .316 , .636 , .295 , 80.4 ,1.29,-1.26,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
이지영,1.26,137.0,450.0,420.0,38.0,112.0,13.0,4.0,2.0,139.0,37.0,1.0,1.0,20.0,2.0,2.0,44.0,16.0,8.0,0.0, .267 , .303 , .331 , .634 , .290 , 75.6 ,1.26,-1.85,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
황성빈,1.23,102.0,353.0,320.0,62.0,94.0,12.0,4.0,1.0,117.0,16.0,10.0,12.0,22.0,2.0,0.0,55.0,2.0,7.0,2.0, .294 , .341 , .366 , .707 , .324 , 95.3 ,1.23,-0.39,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김태군,1.22,102.0,235.0,205.0,20.0,61.0,11.0,0.0,2.0,78.0,25.0,0.0,0.0,17.0,4.0,0.0,34.0,15.0,6.0,3.0, .298 , .358 , .380 , .739 , .337 , 106.3 ,1.22,-0.17,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0
이재원,1.19,85.0,253.0,223.0,31.0,50.0,8.0,2.0,13.0,101.0,43.0,3.0,1.0,18.0,12.0,2.0,77.0,3.0,0.0,0.0, .224 , .316 , .453 , .769 , .346 , 122.0 ,1.19,0.61,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200.0
이재원,1.19,85.0,253.0,223.0,31.0,50.0,8.0,2.0,13.0,101.0,43.0,3.0,1.0,18.0,12.0,2.0,77.0,3.0,0.0,0.0, .224 , .316 , .453 , .769 , .346 , 122.0 ,1.19,0.61,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
김인태,1.17,83.0,279.0,235.0,25.0,58.0,6.0,0.0,5.0,79.0,25.0,1.0,0.0,41.0,3.0,1.0,47.0,6.0,0.0,0.0, .247 , .366 , .336 , .702 , .337 , 109.9 ,1.17,0.08,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.0
안권수,1.15,76.0,267.0,239.0,43.0,71.0,7.0,2.0,0.0,82.0,20.0,3.0,4.0,26.0,1.0,0.0,40.0,6.0,1.0,0.0, .297 , .368 , .343 , .712 , .339 , 108.3 ,1.15,-0.47,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.0
정수빈,1.13,127.0,455.0,405.0,58.0,105.0,12.0,4.0,3.0,134.0,41.0,15.0,8.0,39.0,1.0,1.0,56.0,2.0,6.0,4.0, .259 , .323 , .331 , .654 , .303 , 85.3 ,1.13,0.81,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0
이원석,1.12,88.0,335.0,288.0,31.0,77.0,13.0,0.0,10.0,120.0,60.0,0.0,0.0,33.0,5.0,2.0,70.0,7.0,3.0,6.0, .267 , .346 , .417 , .763 , .345 , 110.2 ,1.12,1.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
황대인,1.08,129.0,524.0,476.0,40.0,122.0,27.0,0.0,14.0,191.0,91.0,0.0,0.0,36.0,7.0,2.0,92.0,20.0,0.0,5.0, .256 , .315 , .401 , .716 , .327 , 100.0 ,1.08,-1.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0
전의산,1.0,77.0,266.0,241.0,36.0,60.0,15.0,1.0,13.0,116.0,45.0,0.0,0.0,24.0,0.0,3.0,84.0,6.0,0.0,1.0, .249 , .316 , .481 , .797 , .353 , 114.0 ,1.0,0.2,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김태연,0.95,119.0,464.0,404.0,46.0,97.0,18.0,0.0,7.0,136.0,53.0,3.0,2.0,48.0,5.0,1.0,106.0,9.0,3.0,4.0, .240 , .325 , .337 , .662 , .310 , 89.1 ,0.95,-1.45,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600.0
오윤석,0.84,111.0,337.0,286.0,23.0,67.0,13.0,0.0,6.0,98.0,37.0,2.0,1.0,34.0,6.0,0.0,69.0,9.0,5.0,6.0, .234 , .322 , .343 , .665 , .308 , 86.1 ,0.84,0.26,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0
김민혁,0.79,38.0,97.0,88.0,11.0,25.0,2.0,0.0,5.0,42.0,16.0,0.0,0.0,7.0,2.0,0.0,25.0,6.0,0.0,0.0, .284 , .351 , .477 , .828 , .377 , 142.7 ,0.79,0.11,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
김민혁,0.79,38.0,97.0,88.0,11.0,25.0,2.0,0.0,5.0,42.0,16.0,0.0,0.0,7.0,2.0,0.0,25.0,6.0,0.0,0.0, .284 , .351 , .477 , .828 , .377 , 142.7 ,0.79,0.11,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0
김민식,0.76,104.0,266.0,222.0,30.0,49.0,9.0,1.0,2.0,66.0,28.0,0.0,0.0,32.0,2.0,1.0,45.0,4.0,7.0,3.0, .221 , .321 , .297 , .618 , .288 , 73.5 ,0.76,-0.99,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500.0
김인환,0.73,113.0,429.0,398.0,48.0,104.0,14.0,0.0,16.0,166.0,54.0,2.0,0.0,24.0,3.0,2.0,111.0,4.0,0.0,4.0, .261 , .305 , .417 , .722 , .327 , 100.3 ,0.73,-1.43,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
김도영,0.72,103.0,254.0,224.0,37.0,53.0,11.0,4.0,3.0,81.0,19.0,13.0,3.0,22.0,3.0,0.0,62.0,3.0,4.0,1.0, .237 , .312 , .362 , .674 , .309 , 88.1 ,0.72,-0.53,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김상수,0.56,72.0,260.0,235.0,30.0,59.0,11.0,0.0,2.0,76.0,29.0,2.0,1.0,18.0,1.0,0.0,44.0,6.0,4.0,2.0, .251 , .305 , .323 , .628 , .291 , 75.2 ,0.56,-0.79,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0
김상수,0.56,72.0,260.0,235.0,30.0,59.0,11.0,0.0,2.0,76.0,29.0,2.0,1.0,18.0,1.0,0.0,44.0,6.0,4.0,2.0, .251 , .305 , .323 , .628 , .291 , 75.2 ,0.56,-0.79,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
박준영,0.53,75.0,240.0,208.0,27.0,45.0,8.0,1.0,4.0,67.0,19.0,7.0,2.0,27.0,1.0,0.0,54.0,6.0,3.0,1.0, .216 , .308 , .322 , .630 , .295 , 78.9 ,0.53,-1.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
박준영,0.53,75.0,240.0,208.0,27.0,45.0,8.0,1.0,4.0,67.0,19.0,7.0,2.0,27.0,1.0,0.0,54.0,6.0,3.0,1.0, .216 , .308 , .322 , .630 , .295 , 78.9 ,0.53,-1.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
오선진,0.53,100.0,306.0,268.0,30.0,74.0,8.0,0.0,3.0,91.0,24.0,2.0,2.0,18.0,3.0,0.0,51.0,5.0,16.0,1.0, .276 , .328 , .340 , .667 , .299 , 79.9 ,0.53,-0.72,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
최주환,0.52,97.0,333.0,298.0,36.0,63.0,14.0,2.0,9.0,108.0,41.0,0.0,0.0,29.0,4.0,2.0,55.0,5.0,0.0,2.0, .211 , .288 , .362 , .651 , .298 , 79.1 ,0.52,-0.42,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000.0
