이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
김상수,1.21,66,0,0,0,4,2,1,18,52.0,22,18,218,45,7,1,1,21,0,3,36,0,1, 3.12 , 3.69 , 1.27 , 133.5 , 112.4 ,0.6,Pitcher,김상수,25000.0
김상수,1.21,66,0,0,0,4,2,1,18,52.0,22,18,218,45,7,1,1,21,0,3,36,0,1, 3.12 , 3.69 , 1.27 , 133.5 , 112.4 ,0.6,Pitcher,김상수,30000.0
이용찬,1.18,60,0,0,0,4,4,29,0,61.0,28,28,254,53,6,1,5,19,1,3,51,0,4, 4.13 , 3.87 , 1.18 , 100.8 , 108.9 ,1.31,Pitcher,이용찬,40000.0
홍건희,1.18,64,0,0,0,1,5,22,5,61.2,28,21,277,67,10,3,4,24,3,0,62,0,8, 3.06 , 3.30 , 1.48 , 132.9 , 122.7 ,-1.08,Pitcher,홍건희,25000.0
박치국,1.16,62,0,0,0,5,3,2,11,52.2,22,21,236,54,9,2,3,21,1,5,48,0,2, 3.59 , 3.78 , 1.42 , 113.5 , 107.3 ,0.0,Pitcher,박치국,14500.0
정철원,1.14,67,0,0,0,7,6,13,11,72.2,36,32,315,66,6,0,8,32,2,2,55,1,6, 3.96 , 4.68 , 1.35 , 102.8 , 85.6 ,0.2,Pitcher,정철원,3000.0
김성진,1.11,55,0,0,0,3,3,0,7,47.0,19,19,208,44,7,0,5,25,2,1,38,0,0, 3.64 , 4.74 , 1.47 , 112.9 , 85.4 ,-0.47,Pitcher,김성진,3000.0
김성진,1.11,55,0,0,0,3,3,0,7,47.0,19,19,208,44,7,0,5,25,2,1,38,0,0, 3.64 , 4.74 , 1.47 , 112.9 , 85.4 ,-0.47,Pitcher,김성진,5000.0
윤대경,1.11,47,0,0,0,5,1,0,2,47.2,18,13,199,36,9,1,4,19,0,6,28,0,2, 2.45 , 4.93 , 1.15 , 169.2 , 84.2 ,0.58,Pitcher,윤대경,9730.0
배제성,1.04,26,0,0,24,8,10,0,0,130.1,72,65,596,144,20,1,6,77,0,2,79,1,9, 4.49 , 4.65 , 1.70 , 94.1 , 89.7 ,-0.97,Pitcher,배제성,27000.0
이승현,1.03,60,0,0,0,4,3,0,14,60.0,29,24,264,68,12,1,5,15,1,0,42,0,2, 3.60 , 3.83 , 1.38 , 117.6 , 109.8 ,-0.04,Pitcher,이승현,10000.0
이승현,1.03,60,0,0,0,4,3,0,14,60.0,29,24,264,68,12,1,5,15,1,0,42,0,2, 3.60 , 3.83 , 1.38 , 117.6 , 109.8 ,-0.04,Pitcher,이승현,5500.0
한승주,1.03,47,0,0,6,1,4,0,2,70.2,34,31,320,81,16,2,6,31,2,4,55,0,5, 3.95 , 4.39 , 1.59 , 105.2 , 94.5 ,-0.76,Pitcher,한승주,3000.0
김윤식,1.01,17,0,0,16,6,4,0,0,74.2,35,35,320,86,13,2,4,25,0,3,42,0,4, 4.22 , 4.14 , 1.49 , 96.7 , 98.9 ,0.4,Pitcher,김윤식,7000.0
김재웅,1.0,67,0,0,0,2,3,6,18,59.2,29,28,250,56,11,0,2,24,1,0,46,0,0, 4.22 , 3.49 , 1.34 , 97.2 , 116.9 ,1.35,Pitcher,김재웅,10400.0
장시환,1.0,39,0,0,0,2,2,1,7,34.2,13,13,153,32,4,0,1,21,1,4,24,0,3, 3.38 , 4.51 , 1.53 , 123.0 , 92.0 ,-0.81,Pitcher,장시환,8700.0
고우석,0.99,44,0,0,0,3,8,15,0,44.0,19,18,190,38,6,0,2,22,1,4,59,0,5, 3.68 , 3.06 , 1.36 , 110.9 , 134.3 ,-0.75,Pitcher,고우석,27000.0
이준영,0.97,64,0,0,0,1,0,0,10,33.2,12,12,149,26,3,1,0,23,2,2,30,0,1, 3.21 , 3.71 , 1.46 , 128.8 , 111.6 ,-0.02,Pitcher,이준영,6700.0
최민준,0.96,53,0,0,0,5,3,1,7,60.0,29,28,262,75,10,2,7,19,1,1,37,0,2, 4.20 , 4.68 , 1.57 , 99.6 , 90.9 ,-0.59,Pitcher,최민준,6500.0
