이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
박준영,-0.3,4,0,0,0,0,0,0,0,4.1,9,9,23,2,0,0,0,8,0,0,7,0,1, 18.69 , 5.75 , 2.31 , 22.2 , 72.1 ,-0.05,Pitcher,박준영,7000.0
박준영,-0.3,4,0,0,0,0,0,0,0,4.1,9,9,23,2,0,0,0,8,0,0,7,0,1, 18.69 , 5.75 , 2.31 , 22.2 , 72.1 ,-0.05,Pitcher,박준영,3000.0
장필준,-0.3,17,0,0,3,1,1,0,1,19.1,17,17,96,28,5,3,2,12,0,2,11,0,0, 7.91 , 5.82 , 2.07 , 53.5 , 71.8 ,-0.34,Pitcher,장필준,12000.0
김진욱,-0.31,50,0,0,0,2,1,0,8,36.1,27,26,177,37,6,1,4,29,0,2,35,0,3, 6.44 , 5.51 , 1.82 , 64.6 , 74.4 ,-0.76,Pitcher,김진욱,5100.0
이지강,-0.32,22,0,0,12,2,5,0,2,68.0,45,30,299,60,9,0,4,28,0,9,38,0,3, 3.97 , 4.72 , 1.29 , 102.8 , 86.7 ,-0.56,Pitcher,이지강,3000.0
정성곤,-0.32,6,0,0,0,0,0,0,0,4.1,9,5,29,8,3,0,2,7,0,0,3,0,0, 10.38 , 12.90 , 3.46 , 40.3 , 33.3 ,-0.1,Pitcher,,7500.0
딜런,-0.32,2,0,0,2,0,1,0,0,9.0,9,8,45,10,1,0,2,5,0,0,2,0,1, 8.00 , 7.55 , 1.67 , 50.9 , 52.5 ,-0.34,Pitcher,딜런,3000.0
한승혁,-0.33,21,0,0,7,0,3,0,1,36.1,27,26,176,48,9,0,3,21,0,3,28,0,4, 6.44 , 4.96 , 1.90 , 64.5 , 83.8 ,-1.69,Pitcher,한승혁,5300.0
이종민,-0.36,11,0,0,2,0,1,0,0,13.2,13,11,72,22,7,0,0,6,0,1,10,0,0, 7.24 , 3.52 , 2.05 , 56.7 , 117.1 ,-0.71,Pitcher,이종민,3000.0
강재민,-0.36,43,0,0,0,1,3,0,12,43.1,31,31,189,35,10,1,5,19,0,8,42,0,0, 6.44 , 4.87 , 1.25 , 64.5 , 85.2 ,-1.03,Pitcher,강재민,15000.0
황동하,-0.42,13,0,0,6,0,3,0,0,31.1,25,23,149,35,6,3,5,21,0,1,19,0,1, 6.61 , 6.41 , 1.79 , 62.5 , 64.0 ,-0.97,Pitcher,황동하,3000.0
이영준,-0.42,2,0,0,0,0,1,0,0,1.2,4,4,10,4,0,0,0,1,0,0,0,0,1, 21.60 , 5.24 , 3.00 , 19.0 , 79.0 ,-0.46,Pitcher,이영준,6000.0
문경찬,-0.45,2,0,0,0,0,1,0,0,2.0,6,6,12,6,0,0,3,0,0,0,2,0,0, 27.00 , 20.94 , 3.00 , 15.4 , 18.7 ,-0.8,Pitcher,문경찬,9000.0
강효종,-0.45,7,0,0,7,1,2,0,0,21.2,18,15,103,25,3,0,1,12,0,2,14,1,0, 6.23 , 4.69 , 1.71 , 65.5 , 87.5 ,-0.6,Pitcher,강효종,3000.0
김서현,-0.45,20,0,0,1,0,0,1,0,22.1,20,18,114,22,4,2,1,23,1,7,26,1,3, 7.25 , 5.59 , 2.02 , 57.2 , 74.3 ,-0.08,Pitcher,김서현,3000.0
하영민,-0.45,57,0,0,0,3,1,0,5,52.1,36,27,247,67,8,4,4,25,3,1,51,0,6, 4.64 , 3.81 , 1.76 , 88.4 , 106.4 ,-0.94,Pitcher,하영민,4000.0
이태연,-0.48,15,0,0,0,0,0,0,1,5.2,10,10,37,12,3,0,1,9,0,0,4,0,0, 15.88 , 9.09 , 3.71 , 26.2 , 45.0 ,-0.34,Pitcher,이태연,3000.0
최영환,-0.51,8,0,0,0,0,1,0,0,10.0,14,11,54,15,8,0,0,7,0,1,7,0,0, 9.90 , 4.44 , 2.20 , 42.0 , 93.9 ,-0.38,Pitcher,최영환,4700.0
남지민,-0.51,16,0,0,7,1,7,0,0,37.2,31,27,186,54,12,0,0,13,1,6,23,0,3, 6.45 , 3.66 , 1.78 , 64.4 , 113.6 ,-1.29,Pitcher,남지민,3300.0
소형준,-0.53,3,0,0,3,0,0,0,0,11.0,14,14,59,22,4,0,1,3,0,3,4,0,2, 11.45 , 5.53 , 2.27 , 36.9 , 75.0 ,-0.52,Pitcher,소형준,20000.0
주승우,-0.53,11,0,0,2,0,2,0,0,16.0,18,17,90,20,7,0,1,21,0,2,8,0,3, 9.56 , 7.57 , 2.56 , 42.9 , 54.2 ,-0.43,Pitcher,주승우,3000.0
김동규,-0.54,4,0,0,1,0,1,0,0,4.1,12,11,31,6,0,0,1,12,0,2,1,0,4, 22.85 , 15.67 , 4.15 , 17.9 , 26.0 ,-0.44,Pitcher,김동규,3000.0
이상민,-0.54,23,0,0,0,2,1,0,1,18.0,17,17,83,32,3,1,2,3,0,0,17,0,0, 8.50 , 3.50 , 1.94 , 49.8 , 120.6 ,-0.63,Pitcher,이상민,5500.0
박종훈,-0.55,18,0,0,16,2,6,0,0,80.0,57,55,382,77,13,1,8,60,0,19,56,0,2, 6.19 , 6.31 , 1.71 , 67.6 , 67.0 ,-1.45,Pitcher,,180000.0
황동재,-0.58,7,0,0,7,0,5,0,0,31.2,27,25,155,40,14,1,6,21,0,2,27,0,0, 7.11 , 6.38 , 1.93 , 59.6 , 66.0 ,-0.83,Pitcher,황동재,3100.0
메디나,-0.62,12,0,0,12,2,6,0,0,58.0,42,39,269,64,16,1,6,29,0,9,36,1,5, 6.05 , 5.51 , 1.60 , 68.3 , 74.6 ,-1.67,Pitcher,메디나,3000.0
김민,-0.64,16,0,0,4,1,2,0,0,29.0,26,22,145,40,6,0,3,16,0,4,22,0,4, 6.83 , 5.34 , 1.93 , 61.8 , 78.0 ,-1.13,Pitcher,김민,4000.0
원종현,-0.64,20,0,0,0,1,1,0,6,18.2,16,12,87,24,8,1,3,5,1,1,17,0,2, 5.79 , 4.51 , 1.55 , 71.0 , 88.7 ,-0.53,Pitcher,원종현,27000.0
변시원,-0.69,4,0,0,0,0,0,0,0,2.1,11,11,19,6,2,0,1,4,0,2,2,0,0, 42.43 , 15.01 , 4.29 , 9.7 , 26.9 ,-0.32,Pitcher,변시원,4000.0
최하늘,-0.7,3,0,0,2,0,2,0,0,6.1,14,14,40,14,6,0,2,5,0,2,3,0,0, 19.89 , 9.92 , 3.00 , 21.3 , 42.6 ,-0.71,Pitcher,최하늘,3000.0
김재열,-0.71,9,0,0,0,0,0,0,0,11.2,17,17,70,20,4,1,2,13,0,0,9,0,0, 13.11 , 7.47 , 2.83 , 31.5 , 55.0 ,-0.4,Pitcher,김재열,3900.0
김선기,-0.73,17,0,0,7,1,3,1,0,43.2,37,29,200,56,16,2,2,15,0,1,29,1,0, 5.98 , 3.81 , 1.63 , 68.7 , 107.1 ,-0.99,Pitcher,김선기,6300.0
양창섭,-0.77,15,0,0,4,0,3,0,2,28.2,29,29,141,45,5,1,7,16,1,1,12,0,2, 9.10 , 7.45 , 2.13 , 46.5 , 56.8 ,-0.92,Pitcher,양창섭,4700.0
최채흥,-0.79,15,0,0,14,1,7,0,0,63.1,52,47,295,90,13,3,9,16,1,3,33,1,1, 6.68 , 5.10 , 1.67 , 63.4 , 82.7 ,-1.62,Pitcher,,16000.0
이인복,-0.8,10,0,0,7,1,4,0,0,33.1,32,24,168,54,7,3,3,10,1,5,15,0,4, 6.48 , 4.97 , 1.92 , 64.2 , 82.2 ,-1.39,Pitcher,이인복,8500.0
김동혁,-0.81,35,0,0,2,1,7,0,6,39.1,34,33,192,51,9,3,1,18,0,6,24,2,0, 7.55 , 4.38 , 1.75 , 54.4 , 93.7 ,-1.16,Pitcher,김동혁,6000.0
홍정우,-0.81,36,0,0,1,2,3,0,3,36.0,31,30,166,36,3,1,5,21,2,3,22,0,2, 7.50 , 5.86 , 1.58 , 56.5 , 71.8 ,-1.07,Pitcher,홍정우,5300.0
정우영,-0.88,60,0,0,0,5,6,0,11,51.2,39,27,245,63,11,0,1,17,1,15,41,1,2, 4.70 , 3.91 , 1.55 , 86.8 , 105.5 ,-1.82,Pitcher,정우영,28000.0
김민우,-1.06,12,0,0,12,1,6,0,0,51.2,43,40,243,65,16,2,6,28,0,2,43,0,5, 6.97 , 5.03 , 1.80 , 59.6 , 82.5 ,-1.61,Pitcher,김민우,19100.0
김태훈,-1.53,71,0,0,0,6,7,3,11,63.1,54,50,306,74,18,2,8,43,4,3,40,0,1, 7.11 , 5.81 , 1.85 , 59.4 , 72.1 ,-2.33,Pitcher,김태훈,4100.0
김태훈,-1.53,71,0,0,0,6,7,3,11,63.1,54,50,306,74,18,2,8,43,4,3,40,0,1, 7.11 , 5.81 , 1.85 , 59.4 , 72.1 ,-2.33,Pitcher,김태훈,19000.0
